TINWSYS_IS_NUMBER,WATER_SYSTEM_NUMBER,SYSTEM_NAME,REGULATING_AGENCY,COUNTY,FEDERAL_CLASSIFICATION_TYPE,SERVICE_CONNECTIONS,POPULATION,OWNER_TYPE,PL_ADDRESS,PL_ADDRESS_CITY_NAME,PL_ADDRESS_STATE_CODE,PL_ADDRESS_ZIP_CODE,LATITUDE_MEASURE,LONGITUDE_MEASURE,SERVICE_AREA_ECONOMIC_STATUS,MHI,CALENVIRO_SCREEN_SCORE,RISK_ASSESSMENT_RESULT,CURRENT_FAILING,FINAL_SAFER_STATUS,FAILING_START_DATE,PRIMARY_MCL_VIOLATION,PRIMARY_ANALYTE_1,PRIMARY_ANALYTE_2,PRIMARY_ANALYTE_3,PRIMARY_ANALYTE_4,PRIMARY_ANALYTE_5,SECONDARY_MCL_VIOLATION,SECONDARY_ANALYTE_1,SECONDARY_ANALYTE_2,SECONDARY_ANALYTE_3,SECONDARY_ANALYTE_4,E_COLI_VIOLATION,E_COLI_ANALYTES,TREATMENT_TECHNIQUE_VIOLATION,TT_ANALYTES,MONITORING_AND_REPORTING_VIOLATION,MONITORING_AND_REPORTING_ANALYTES,SOURCE_CAPACITY_VIOLATION,SOURCE_CAPACITY_ANALYTES,TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT,WEIGHTED_WATER_QUALITY_SCORE,WATER_QUALITY_SCORE,WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,WATER_QUALITY_RISK_LEVEL,WEIGHTED_ACCESSIBILITY_SCORE,ACCESSIBILITY_SCORE,ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,ASSESSIBILITY_RISK_LEVEL,WEIGHTED_AFFORDABILITY_SCORE,AFFORDABILITY_SCORE,AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,AFFORDABILITY_RISK_LEVEL,WEIGHTED_TMF_CAPACITY_SCORE,TMF_CAPACITY_SCORE,TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,TMF_CAPACITY_RISK_LEVEL,HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL,HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET,HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE,HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE,TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL,TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET,TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE,TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE,PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL,PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET,PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE,PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE,CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL,CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET,CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE,CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL,MIN_PCT_OF_SOURCES_EXCEED_MCL_THRESHOLD_MET,MAX_PCT_OF_SOURCES_EXCEED_MCL_THRESHOLD_MET,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE,NUMBER_OF_WATER_SOURCES_RISK_LEVEL,NUMBER_OF_WATER_SOURCES_THRESHOLD_MET,NUMBER_OF_WATER_SOURCES_RAW_SCORE,NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE,ABESENCE_OF_INTERTIES_RISK_LEVEL,ABESENCE_OF_INTERTIES_THRESHOLD_MET,ABESENCE_OF_INTERTIES_RAW_SCORE,ABESENCE_OF_INTERTIES_WEIGHTED_SCORE,SOURCE_CAPACITY_VIOLATION_RISK_LEVEL,SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET,SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE,SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE,EXTREME_WATER_BILL_RISK_LEVEL,EXTREME_WATER_BILL_THRESHOLD_MET,EXTREME_WATER_BILL_RAW_SCORE,EXTREME_WATER_BILL_WEIGHTED_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL,HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE,TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL,TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET,TOTAL_NET_ANNUAL_INCOME_RAW_SCORE,TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE,OPERATING_RATIO_RISK_LEVEL,OPERATING_RATIO_THRESHOLD_MET,OPERATING_RATIO_RAW_SCORE,OPERATING_RATIO_WEIGHTED_SCORE,DAYS_CASH_ON_HAND_RISK_LEVEL,DAYS_CASH_ON_HAND_THRESHOLD_MET,DAYS_CASH_ON_HAND_RAW_SCORE,DAYS_CASH_ON_HAND_WEIGHTED_SCORE,OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL,OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET,OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE,OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE,MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL,MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET,MONITORING_AND_REPORTING_VIOLATIONS_SCORE,MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE,SIGNIFICANT_DEFICIENCIES_RISK_LEVEL,SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET,SIGNIFICANT_DEFICIENCIES_RAW_SCORE,SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE,FUNDING_RECEIVED_SINCE_2017,TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017,REGIONAL_BOARD,AUTOMATICALLY_AT_RISK_REASON,CREATED_DATE,TOTAL_PRIMARY_ANALYTES,TOTAL_SECONDARY_ANALYTES,TOTAL_E_COLI_ANALYTES
2701,CA2010007,CAL AM - OAKHURST,DISTRICT 11 - MERCED,MADERA,COMMUNITY,1119,3693,PRIVATE,40312 GREENWOOD WAY,OAKHURST,CA,93644,37.327319,-119.630207,DAC,69106,12.4966674645258,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,0.33,0.33,0.11,1.00,LOW,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,NO,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.33,0.66,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,NONE,Not Applicable,0,0,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,1343939.5,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
2702,CA2010008,MADERA CO MD10A-MADERA RANCHOS,DISTRICT 11 - MERCED,MADERA,COMMUNITY,946,3172,LOCAL,12603 Charlton Road,MADERA,CA,93636,36.924453,-119.889747,Non-DAC,100679,33.457541182595,Not At-Risk,Failing,Failing,2020-04-16,NO,NA,NA,NA,NA,NA,YES,MANGANESE,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,2.00,0.50,0.17,0.25,LOW,1.00,0.50,0.50,MEDIUM,0.00,0.00,0.00,NONE,0.50,0.25,0.25,LOW,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,MEDIUM,1,0.5,1.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,HIGH,1+,1,2,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,NONE,1 or greater,0,0.00,NA,NA,0.5,0.50,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,10033738.33,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,1,NA
2703,CA2010009,BAKMAN WATER-ROLLING HILLS,DISTRICT 11 - MERCED,MADERA,COMMUNITY,349,1107,PRIVATE,Rolling Hills Drive,MADERA,CA,93637,36.904903,-119.797208,Non-DAC,84135,56.1830181190026,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,1.50,0.50,0.17,0.33,LOW,1.00,0.50,0.67,MEDIUM,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,NO,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.50,1.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,HIGH,1+,1,2,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
2704,CA2010010,MADERA VALLEY WATER COMPANY,DISTRICT 11 - MERCED,MADERA,COMMUNITY,2008,6494,PRIVATE,18454 ROAD 26,MADERA,CA,93638,37.020563,-120.07186,DAC,68533,41.5888244554417,Potentially At-Risk,Not Failing,Potentially At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,3.08,0.00,0.00,0.00,NONE,1.00,0.50,0.32,MEDIUM,1.25,1.25,0.41,HIGH,0.83,0.42,0.27,LOW,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,HIGH,1+,1,2,MEDIUM,1.5% or greater AND less than 2.5%,0.75,2.40,MEDIUM,Equal to or greater than 150% AND less than 200% of statewide average,0.5,0.50,MEDIUM,Combined score of 0.25 - 0.5,0.5,1.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NA,NA,0.5,0.50,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,1150623,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
2705,CA2010011,MADERA CO SA1-INDIAN LAKES,DISTRICT 11 - MERCED,MADERA,COMMUNITY,473,1562,LOCAL,Road 417 and Delaware Road,COARSEGOLD,CA,93614,37.212673,-119.68113,DAC,75074,9.96485710522207,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,1.25,0.25,0.08,0.20,LOW,0.33,0.17,0.26,LOW,0.00,0.00,0.00,NONE,0.67,0.33,0.54,LOW,NONE,NO,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.25,0.50,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,NONE,1 or greater,0,0.00,HIGH,Less than 1,1,1.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
2706,CA2010012,CAL AM - RAYMOND,DISTRICT 11 - MERCED,MADERA,COMMUNITY,104,343,PRIVATE,Road 600 and Road 613,RAYMOND,CA,93653,37.219683,-119.906549,SDAC,45500,14.7694644908998,At-Risk,Not Failing,At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,3.71,3.05,1.02,0.82,HIGH,0.33,0.17,0.09,LOW,0.33,0.33,0.09,LOW,0.00,0.00,0.00,NONE,NONE,NO,0,0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),0.80,1.60,NONE,NO,0,0,NONE,0,0.0,0.0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.50,1.50,HIGH,50,100,1,3,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,MEDIUM,Combined score of 0.25 - 0.5,0.5,1.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
2707,CA2010013,CAL AM - COARSEGOLD,DISTRICT 11 - MERCED,MADERA,COMMUNITY,27,83,PRIVATE,32207 Big Sandy Dr,COARSGOLD,CA,93614,37.219722,-119.703337,DAC,67574,9.96485710522207,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,0.58,0.25,0.08,0.43,LOW,0.33,0.17,0.57,LOW,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,NO,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.25,0.50,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
2708,CA2010014,CAL AM - GOLDSIDE,DISTRICT 11 - MERCED,MADERA,COMMUNITY,316,1043,PRIVATE,41199 Deer Creek Dr,OAKHURST,CA,93644,37.346439,-119.724621,DAC,58480,14.7096228618494,Not At-Risk,Failing,Failing,2017-03-17,NO,NA,NA,NA,NA,NA,YES,IRON, MANGANESE,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,1.16,0.83,0.28,0.72,LOW,0.33,0.17,0.28,LOW,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,NO,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.33,0.66,NONE,NO,0,0,MEDIUM,1,0.5,1.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,2,NA
14509,CA2010016,RIVERSTONE/ROOTCREEK WATER DISTRICT,DISTRICT 11 - MERCED,MADERA,COMMUNITY,2675,5507,PRIVATE,AVE 12 AND HWY 41,MADERA,CA,93636,36.91531,-119.809444,Non-DAC,84135,48.6556203111728,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,1.58,0.25,0.08,0.16,LOW,1.00,0.50,0.63,MEDIUM,0.00,0.00,0.00,NONE,0.33,0.17,0.21,LOW,NONE,NO,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.25,0.50,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,HIGH,1+,1,2,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
14880,CA2010017,"TESORO VIEJO MASTER MWC, INC.",DISTRICT 11 - MERCED,MADERA,COMMUNITY,1115,3885,PRIVATE,HWY 41 AND ROAD 204,MADERA,CA,93636,36.959523,-119.793934,Non-DAC,86624,47.652768523195,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,1.25,0.25,0.08,0.20,LOW,0.33,0.17,0.26,LOW,0.00,0.00,0.00,NONE,0.67,0.33,0.54,LOW,NONE,NO,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.25,0.50,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
15042,CA2010018,PRESERVE AT MILLERTON LAKE WATER SYSTEM,DISTRICT 11 - MERCED,MADERA,COMMUNITY,243,600,PRIVATE,", ",FRESNO,CA,93720,37.004388,-119.720077,DAC,63859,15.73550250414,Potentially At-Risk,Not Failing,Potentially At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,2.67,1.00,0.33,0.37,LOW,1.00,0.50,0.37,MEDIUM,0.00,0.00,0.00,NONE,0.67,0.33,0.25,LOW,NONE,NO,0,0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),1.00,2.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NA,NA,NA,NA,HIGH,1+,1,2,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,NA,NA,2026-05-17,NA,NA,NA
15775,CA2010019,MADERA CO CSA 22C GUNNER RANCH,DISTRICT 11 - MERCED,MADERA,COMMUNITY,23,3050,LOCAL,", ",FRESNO,CA,93720,36.882077,-119.81,NA,NA,NA,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,1.00,0.00,0.00,0.00,NONE,1.00,0.50,1.00,MEDIUM,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NA,NA,NA,NA,HIGH,1+,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NONE,Combined score of 0 - 0.125,0,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,NA,NA,2026-05-17,NA,NA,NA
2713,CA2010800,CENTRAL CA WOMENS FACILITY,DISTRICT 11 - MERCED,MADERA,COMMUNITY,656,2183,STATE GOVERNMENT,"23370 ROAD 22, P.O. BOX 1501",CHOWCHILLA,CA,93610,37.090798,-120.156514,SDAC,55850,42.4300790716986,At-Risk,Not Failing,At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,4.55,1.88,0.63,0.41,HIGH,1.00,0.50,0.22,MEDIUM,0.67,0.67,0.15,MEDIUM,1.00,0.50,0.22,MEDIUM,NONE,NO,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.38,0.76,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,HIGH,50,100,1,3,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,HIGH,1+,1,2,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,HIGH,Combined score of 0.625 - 1.0,1,2.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,HIGH,Less than 1,1,1.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
2714,CA2010801,VALLEY STATE PRISON,DISTRICT 11 - MERCED,MADERA,COMMUNITY,74,3173,STATE GOVERNMENT,21633 AVENUE 24,CHOWCHILLA,CA,93610,37.104345,-120.155918,SDAC,57239,42.4300790716986,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,2.00,0.00,0.00,0.00,NONE,1.00,0.50,0.50,MEDIUM,0.67,0.67,0.34,MEDIUM,0.33,0.17,0.17,LOW,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,HIGH,1+,1,2,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,HIGH,Combined score of 0.625 - 1.0,1,2.00,HIGH,Less than $0,1,1.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 5 Central Valley (Sacramento Office),NA,2026-05-17,NA,NA,NA
